+-------------+------+--------+---------+
|  series id  | year | period |  value  |
+-------------+------+--------+---------+
| CWUR0000SA0 | 2018 |  M04   | 244.607 |
| CWUR0000SA0 | 2018 |  M03   | 243.463 |
| CWUR0000SA0 | 2018 |  M02   | 242.988 |
| CWUR0000SA0 | 2018 |  M01   | 241.919 |
| CWUR0000SA0 | 2017 |  M12   | 240.526 |
| CWUR0000SA0 | 2017 |  M11   | 240.666 |
| CWUR0000SA0 | 2017 |  M10   | 240.573 |
| CWUR0000SA0 | 2017 |  M09   | 240.939 |
| CWUR0000SA0 | 2017 |  M08   | 239.448 |
| CWUR0000SA0 | 2017 |  M07   | 238.617 |
| CWUR0000SA0 | 2017 |  M06   | 238.813 |
| CWUR0000SA0 | 2017 |  M05   | 238.609 |
| CWUR0000SA0 | 2017 |  M04   | 238.432 |
| CWUR0000SA0 | 2017 |  M03   | 237.656 |
| CWUR0000SA0 | 2017 |  M02   | 237.477 |
| CWUR0000SA0 | 2017 |  M01   | 236.854 |
| CWUR0000SA0 | 2016 |  M12   | 235.390 |
| CWUR0000SA0 | 2016 |  M11   | 235.215 |
| CWUR0000SA0 | 2016 |  M10   | 235.732 |
| CWUR0000SA0 | 2016 |  M09   | 235.495 |
| CWUR0000SA0 | 2016 |  M08   | 234.904 |
| CWUR0000SA0 | 2016 |  M07   | 234.771 |
| CWUR0000SA0 | 2016 |  M06   | 235.289 |
| CWUR0000SA0 | 2016 |  M05   | 234.436 |
| CWUR0000SA0 | 2016 |  M04   | 233.438 |
| CWUR0000SA0 | 2016 |  M03   | 232.209 |
| CWUR0000SA0 | 2016 |  M02   | 230.972 |
| CWUR0000SA0 | 2016 |  M01   | 231.061 |
| CWUR0000SA0 | 2015 |  M12   | 230.791 |
| CWUR0000SA0 | 2015 |  M11   | 231.721 |
| CWUR0000SA0 | 2015 |  M10   | 232.373 |
| CWUR0000SA0 | 2015 |  M09   | 232.661 |
| CWUR0000SA0 | 2015 |  M08   | 233.366 |
| CWUR0000SA0 | 2015 |  M07   | 233.806 |
| CWUR0000SA0 | 2015 |  M06   | 233.804 |
| CWUR0000SA0 | 2015 |  M05   | 232.908 |
| CWUR0000SA0 | 2015 |  M04   | 231.520 |
| CWUR0000SA0 | 2015 |  M03   | 231.055 |
| CWUR0000SA0 | 2015 |  M02   | 229.421 |
| CWUR0000SA0 | 2015 |  M01   | 228.294 |
| CWUR0000SA0 | 2014 |  M12   | 229.909 |
| CWUR0000SA0 | 2014 |  M11   | 231.551 |
| CWUR0000SA0 | 2014 |  M10   | 233.229 |
| CWUR0000SA0 | 2014 |  M09   | 234.170 |
| CWUR0000SA0 | 2014 |  M08   | 234.030 |
| CWUR0000SA0 | 2014 |  M07   | 234.525 |
| CWUR0000SA0 | 2014 |  M06   | 234.702 |
| CWUR0000SA0 | 2014 |  M05   | 234.216 |
| CWUR0000SA0 | 2014 |  M04   | 233.443 |
| CWUR0000SA0 | 2014 |  M03   | 232.560 |
| CWUR0000SA0 | 2014 |  M02   | 230.871 |
| CWUR0000SA0 | 2014 |  M01   | 230.040 |
| CWUR0000SA0 | 2013 |  M12   | 229.174 |
| CWUR0000SA0 | 2013 |  M11   | 229.133 |
| CWUR0000SA0 | 2013 |  M10   | 229.735 |
| CWUR0000SA0 | 2013 |  M09   | 230.537 |
| CWUR0000SA0 | 2013 |  M08   | 230.359 |
| CWUR0000SA0 | 2013 |  M07   | 230.084 |
| CWUR0000SA0 | 2013 |  M06   | 230.002 |
| CWUR0000SA0 | 2013 |  M05   | 229.399 |
| CWUR0000SA0 | 2013 |  M04   | 228.949 |
| CWUR0000SA0 | 2013 |  M03   | 229.323 |
| CWUR0000SA0 | 2013 |  M02   | 228.677 |
| CWUR0000SA0 | 2013 |  M01   | 226.520 |
| CWUR0000SA0 | 2012 |  M12   | 225.889 |
| CWUR0000SA0 | 2012 |  M11   | 226.595 |
| CWUR0000SA0 | 2012 |  M10   | 227.974 |
| CWUR0000SA0 | 2012 |  M09   | 228.184 |
| CWUR0000SA0 | 2012 |  M08   | 227.056 |
| CWUR0000SA0 | 2012 |  M07   | 225.568 |
| CWUR0000SA0 | 2012 |  M06   | 226.036 |
| CWUR0000SA0 | 2012 |  M05   | 226.600 |
| CWUR0000SA0 | 2012 |  M04   | 227.012 |
| CWUR0000SA0 | 2012 |  M03   | 226.304 |
| CWUR0000SA0 | 2012 |  M02   | 224.317 |
| CWUR0000SA0 | 2012 |  M01   | 223.216 |
| CWUR0000SA0 | 2011 |  M12   | 222.166 |
| CWUR0000SA0 | 2011 |  M11   | 222.813 |
| CWUR0000SA0 | 2011 |  M10   | 223.043 |
| CWUR0000SA0 | 2011 |  M09   | 223.688 |
| CWUR0000SA0 | 2011 |  M08   | 223.326 |
| CWUR0000SA0 | 2011 |  M07   | 222.686 |
| CWUR0000SA0 | 2011 |  M06   | 222.522 |
| CWUR0000SA0 | 2011 |  M05   | 222.954 |
| CWUR0000SA0 | 2011 |  M04   | 221.743 |
| CWUR0000SA0 | 2011 |  M03   | 220.024 |
| CWUR0000SA0 | 2011 |  M02   | 217.535 |
| CWUR0000SA0 | 2011 |  M01   | 216.400 |
| CWUR0000SA0 | 2010 |  M12   | 215.262 |
| CWUR0000SA0 | 2010 |  M11   | 214.750 |
| CWUR0000SA0 | 2010 |  M10   | 214.623 |
| CWUR0000SA0 | 2010 |  M09   | 214.306 |
| CWUR0000SA0 | 2010 |  M08   | 214.205 |
| CWUR0000SA0 | 2010 |  M07   | 213.898 |
| CWUR0000SA0 | 2010 |  M06   | 213.839 |
| CWUR0000SA0 | 2010 |  M05   | 214.124 |
| CWUR0000SA0 | 2010 |  M04   | 213.958 |
| CWUR0000SA0 | 2010 |  M03   | 213.525 |
| CWUR0000SA0 | 2010 |  M02   | 212.544 |
| CWUR0000SA0 | 2010 |  M01   | 212.568 |
| CWUR0000SA0 | 2009 |  M12   | 211.703 |
| CWUR0000SA0 | 2009 |  M11   | 212.003 |
| CWUR0000SA0 | 2009 |  M10   | 211.549 |
| CWUR0000SA0 | 2009 |  M09   | 211.322 |
| CWUR0000SA0 | 2009 |  M08   | 211.156 |
| CWUR0000SA0 | 2009 |  M07   | 210.526 |
| CWUR0000SA0 | 2009 |  M06   | 210.972 |
| CWUR0000SA0 | 2009 |  M05   | 208.774 |
| CWUR0000SA0 | 2009 |  M04   | 207.925 |
| CWUR0000SA0 | 2009 |  M03   | 207.218 |
| CWUR0000SA0 | 2009 |  M02   | 206.708 |
| CWUR0000SA0 | 2009 |  M01   | 205.700 |
+-------------+------+--------+---------+
