+-----------+------+--------+-------+
| series id | year | period | value |
+-----------+------+--------+-------+
|  WPU1017  | 2018 |  M04   | 201.7 |
|  WPU1017  | 2018 |  M03   | 195.5 |
|  WPU1017  | 2018 |  M02   | 191.9 |
|  WPU1017  | 2018 |  M01   | 187.6 |
|  WPU1017  | 2017 |  M12   | 186.9 |
|  WPU1017  | 2017 |  M11   | 186.0 |
|  WPU1017  | 2017 |  M10   | 187.7 |
|  WPU1017  | 2017 |  M09   | 189.3 |
|  WPU1017  | 2017 |  M08   | 188.3 |
|  WPU1017  | 2017 |  M07   | 193.7 |
|  WPU1017  | 2017 |  M06   | 190.9 |
|  WPU1017  | 2017 |  M05   | 190.4 |
|  WPU1017  | 2017 |  M04   | 187.8 |
|  WPU1017  | 2017 |  M03   | 186.4 |
|  WPU1017  | 2017 |  M02   | 183.1 |
|  WPU1017  | 2017 |  M01   | 178.1 |
|  WPU1017  | 2016 |  M12   | 173.9 |
|  WPU1017  | 2016 |  M11   | 171.5 |
|  WPU1017  | 2016 |  M10   | 172.2 |
|  WPU1017  | 2016 |  M09   | 174.7 |
|  WPU1017  | 2016 |  M08   | 176.3 |
|  WPU1017  | 2016 |  M07   | 173.3 |
|  WPU1017  | 2016 |  M06   | 170.7 |
|  WPU1017  | 2016 |  M05   | 167.0 |
|  WPU1017  | 2016 |  M04   | 161.0 |
|  WPU1017  | 2016 |  M03   | 157.2 |
|  WPU1017  | 2016 |  M02   | 157.4 |
|  WPU1017  | 2016 |  M01   | 158.6 |
|  WPU1017  | 2015 |  M12   | 160.1 |
|  WPU1017  | 2015 |  M11   | 163.8 |
|  WPU1017  | 2015 |  M10   | 168.7 |
|  WPU1017  | 2015 |  M09   | 172.1 |
|  WPU1017  | 2015 |  M08   | 174.3 |
|  WPU1017  | 2015 |  M07   | 175.7 |
|  WPU1017  | 2015 |  M06   | 176.9 |
|  WPU1017  | 2015 |  M05   | 177.7 |
|  WPU1017  | 2015 |  M04   | 181.5 |
|  WPU1017  | 2015 |  M03   | 187.3 |
|  WPU1017  | 2015 |  M02   | 191.0 |
|  WPU1017  | 2015 |  M01   | 196.3 |
|  WPU1017  | 2014 |  M12   | 198.6 |
|  WPU1017  | 2014 |  M11   | 200.6 |
|  WPU1017  | 2014 |  M10   | 201.6 |
|  WPU1017  | 2014 |  M09   | 202.2 |
|  WPU1017  | 2014 |  M08   | 201.9 |
|  WPU1017  | 2014 |  M07   | 201.2 |
|  WPU1017  | 2014 |  M06   | 201.0 |
|  WPU1017  | 2014 |  M05   | 200.2 |
|  WPU1017  | 2014 |  M04   | 199.3 |
|  WPU1017  | 2014 |  M03   | 197.8 |
|  WPU1017  | 2014 |  M02   | 199.1 |
|  WPU1017  | 2014 |  M01   | 198.4 |
+-----------+------+--------+-------+
